Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
North America,14-27 days,1000-5000 GBP,1,0,1.0,8,3,4.0,Holiday,0.0,0.0,0.6697222222222222,0.3302777777777778
EU,1-3 days,250-500 GBP,1,0,1.0,2,5,4.0,VFF,0.0,0.0,1.0,0.0
EU,1-3 days,0-250 GBP,2,0,1.0,4,2,7.0,VFF,0.0,0.0,0.95,0.05
EU,4-13 days,0-250 GBP,0,1,5.0,7,6,4.0,VFF,0.2630952380952381,0.0,0.0,0.7369047619047618
Asia,14-27 days,more than 5000 GBP,1,1,1.0,4,1,2.0,Holiday,0.2333333333333333,0.0,0.6666666666666667,0.1
EU,4-13 days,1000-5000 GBP,1,0,1.0,5,5,3.0,VFF,0.6166666666666667,0.0,0.3333333333333333,0.05
UK,4-13 days,1000-5000 GBP,1,0,1.0,8,3,6.0,VFF,0.05,0.0,0.0,0.95
EU,4-13 days,250-500 GBP,0,1,1.0,4,1,5.0,Business or Work,0.0,0.0,0.12257936507936507,0.8774206349206348
North America,4-13 days,500-1000 GBP,0,0,1.0,2,3,5.0,Education and Other,0.0,0.05,0.25,0.7
EU,1-3 days,0-250 GBP,1,0,1.0,6,3,2.0,VFF,0.7250992063492062,0.0,0.2749007936507936,0.0
Asia,4-13 days,more than 5000 GBP,2,1,1.0,4,4,7.0,Holiday,0.0875,0.0,0.5625,0.35
EU,14-27 days,500-1000 GBP,0,0,1.0,8,6,3.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,1,1,1.0,6,6,4.0,Holiday,0.32400793650793647,0.0,0.6759920634920634,0.0
EU,1-3 days,0-250 GBP,0,1,5.0,6,7,6.0,VFF,0.0,0.29087301587301584,0.2235714285714286,0.48555555555555563
EU,4-13 days,250-500 GBP,2,0,1.0,5,5,2.0,Business or Work,0.2621428571428571,0.0,0.7378571428571429,0.0
Non-EU Europe,4-13 days,500-1000 GBP,1,1,1.0,2,3,7.0,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,500-1000 GBP,0,0,1.0,5,6,7.0,VFF,0.05,0.0,0.7,0.25
EU,1-3 days,0-250 GBP,1,0,1.0,7,3,1.0,Holiday,0.425,0.05,0.0,0.525
EU,1-3 days,0-250 GBP,1,0,1.0,4,3,2.0,Business or Work,0.4500038850038849,0.0,0.2660832223332223,0.2839128926628926
EU,4-13 days,1000-5000 GBP,2,1,1.0,4,4,2.0,Business or Work,0.13333333333333333,0.0,0.5166666666666667,0.35
EU,1-3 days,1000-5000 GBP,1,1,5.0,6,7,5.0,VFF,0.05,0.0,0.9208333333333334,0.029166666666666664
EU,4-13 days,0-250 GBP,2,0,1.0,5,4,1.0,Holiday,0.11666666666666665,0.0,0.8333333333333333,0.05
EU,4-13 days,0-250 GBP,0,0,1.0,7,7,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,1000-5000 GBP,1,0,1.0,5,5,1.0,Business or Work,1.0,0.0,0.0,0.0
North America,1-3 days,250-500 GBP,1,0,1.0,8,6,5.0,Holiday,0.05,0.3,0.35,0.3
EU,1-3 months,500-1000 GBP,0,0,1.0,7,1,6.0,VFF,0.0,0.0,0.05416666666666666,0.9458333333333332
North America,,0-250 GBP,2,1,5.0,2,6,6.0,Holiday,0.15,0.0,0.65,0.2
Non-EU Europe,4-13 days,1000-5000 GBP,0,1,1.0,7,6,4.0,VFF,0.125,0.2,0.2,0.475
North America,4-13 days,more than 5000 GBP,1,0,1.0,4,6,4.0,Holiday,0.24583333333333335,0.0,0.6291666666666667,0.125
Asia,4-13 days,1000-5000 GBP,1,0,1.0,4,2,6.0,VFF,0.10833333333333332,0.6416666666666667,0.25,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,8,5,2.0,Holiday,0.10277777777777777,0.0,0.7322222222222222,0.16499999999999998
North America,4-13 days,1000-5000 GBP,1,0,1.0,7,7,1.0,Business or Work,0.0,0.0,1.0,0.0
Asia,1-3 days,500-1000 GBP,1,1,1.0,4,7,5.0,VFF,0.28106617647058824,0.0,0.6982843137254902,0.020649509803921568
EU,4-13 days,500-1000 GBP,0,0,1.0,6,1,5.0,VFF,0.0,0.0,0.9,0.1
North America,4-13 days,1000-5000 GBP,0,0,1.0,6,1,5.0,VFF,0.0,0.0,0.05,0.95
EU,4-13 days,0-250 GBP,0,0,1.0,8,3,4.0,VFF,0.0,0.0,0.0,1.0
North America,4-13 days,250-500 GBP,2,0,1.0,4,2,5.0,VFF,0.0,0.0,0.9166666666666667,0.08333333333333334
Asia,4-13 days,more than 5000 GBP,1,1,1.0,5,4,1.0,Business or Work,0.41666666666666663,0.0,0.5333333333333333,0.05
North America,14-27 days,250-500 GBP,0,0,1.0,5,1,5.0,VFF,0.05,0.0,0.13333333333333333,0.8166666666666668
