Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,Flow,Age,London_or_out,accom_type,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
South America,14-27 days,500-1000 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.8666666666666666,0.13333333333333333
EU,14-27 days,250-500 GBP,1.0,4,0,0,4,5.0,VFF,0.0,0.0,0.12551587301587303,0.874484126984127
South America,14-27 days,0-250 GBP,1.0,5,0,0,4,6.0,VFF,0.0,0.0,0.5,0.5
EU,14-27 days,500-1000 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.29333333333333333,0.7066666666666667
EU,14-27 days,250-500 GBP,1.0,2,0,0,4,3.0,VFF,0.0,0.1,0.0,0.9
EU,14-27 days,0-250 GBP,1.0,2,0,0,4,5.0,VFF,0.0,0.0,0.1369047619047619,0.8630952380952381
South America,14-27 days,0-250 GBP,1.0,2,0,0,4,5.0,VFF,0.0,0.0,0.3,0.7
EU,6,0-250 GBP,1.0,6,0,1,4,4.0,Business or Work,0.4,0.0,0.6,0.0
EU,14-27 days,0-250 GBP,1.0,2,0,0,4,3.0,VFF,0.0,0.0,0.38761904761904764,0.6123809523809525
South America,14-27 days,0-250 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.2,0.8
EU,14-27 days,0-250 GBP,1.0,4,0,0,4,2.0,VFF,0.0,0.1,0.3,0.6
South America,14-27 days,0-250 GBP,1.0,4,0,0,4,1.0,VFF,0.0,0.0,0.0,1.0
South America,4-13 days,0-250 GBP,1.0,4,0,0,4,1.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,2,0,2,4,1.0,VFF,0.0,0.0,0.925,0.075
EU,14-27 days,0-250 GBP,1.0,4,0,0,4,5.0,VFF,0.0,0.0,0.0,1.0
South America,14-27 days,0-250 GBP,1.0,6,0,0,4,5.0,VFF,0.0,0.01,0.21000000000000002,0.78
EU,4-13 days,250-500 GBP,1.0,6,0,0,4,2.0,VFF,0.0,0.0,0.33333333333333337,0.6666666666666667
EU,14-27 days,500-1000 GBP,1.0,4,0,0,4,5.0,VFF,0.2696031746031746,0.0,0.2015079365079365,0.5288888888888889
South America,14-27 days,500-1000 GBP,1.0,4,0,0,7,1.0,VFF,0.1,0.1,0.7,0.1
South America,14-27 days,0-250 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.0,0.0,1.0
EU,14-27 days,0-250 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.0,0.0,1.0
EU,14-27 days,0-250 GBP,1.0,4,0,0,7,7.0,VFF,0.014285714285714285,0.0,0.05714285714285714,0.9285714285714286
South America,1-3 months,0-250 GBP,1.0,8,0,0,7,5.0,VFF,0.0,0.0,0.1,0.9
South America,14-27 days,0-250 GBP,1.0,6,0,0,7,6.0,VFF,0.075,0.0,0.13999999999999999,0.7849999999999999
South America,14-27 days,0-250 GBP,1.0,2,0,0,7,6.0,VFF,0.0,0.0,0.2,0.8
South America,14-27 days,0-250 GBP,1.0,2,0,0,7,4.0,VFF,0.0,0.0,0.2,0.8
Asia,4-13 days,500-1000 GBP,1.0,4,0,0,7,1.0,VFF,0.18630952380952379,0.0,0.0,0.8136904761904763
South America,14-27 days,0-250 GBP,1.0,7,0,0,7,5.0,VFF,0.0,0.0,0.0,1.0
South America,14-27 days,0-250 GBP,1.0,2,0,0,7,6.0,VFF,0.0,0.0,0.2,0.8
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1.0,6,0,0,7,1.0,VFF,0.0,0.0,0.26666666666666666,0.7333333333333333
South America,4-13 days,500-1000 GBP,1.0,7,0,0,7,5.0,VFF,0.0,0.0,0.0,1.0
North America,14-27 days,1000-5000 GBP,1.0,4,1,1,7,1.0,Holiday,0.6383333333333334,0.0,0.3616666666666667,0.0
South America,14-27 days,0-250 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.0,0.0,1.0
South America,14-27 days,0-250 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.0,0.0,1.0
South America,4-13 days,250-500 GBP,1.0,5,0,0,7,3.0,VFF,0.0,0.0,0.3,0.7
South America,14-27 days,250-500 GBP,1.0,6,0,0,7,1.0,VFF,0.0,0.1,0.2,0.7
South America,14-27 days,500-1000 GBP,1.0,8,0,0,7,1.0,VFF,0.0,0.1,0.0,0.9
South America,14-27 days,250-500 GBP,1.0,5,0,0,7,7.0,VFF,0.0,0.0,0.2,0.8
EU,4-13 days,0-250 GBP,1.0,6,0,0,7,3.0,VFF,0.0,0.0,0.0,1.0
Other,14-27 days,0-250 GBP,1.0,4,0,0,7,1.0,VFF,0.0,0.0,0.3,0.7
EU,14-27 days,0-250 GBP,1.0,2,0,0,7,2.0,VFF,0.0,0.595,0.04,0.365
South America,14-27 days,500-1000 GBP,1.0,7,0,0,7,6.0,VFF,0.0,0.0,0.3,0.7
South America,4-13 days,1000-5000 GBP,1.0,8,0,0,7,2.0,VFF,0.2,0.0,0.375,0.425
Asia,14-27 days,1000-5000 GBP,1.0,6,0,0,7,2.0,VFF,0.1,0.0,0.1,0.8
EU,4-13 days,0-250 GBP,1.0,4,0,0,7,1.0,VFF,0.0,0.0,0.03526956759715381,0.9647304324028463
EU,14-27 days,500-1000 GBP,1.0,2,0,0,7,1.0,VFF,0.0,0.49335470085470085,0.27662781662781666,0.2300174825174825
Africa,14-27 days,1000-5000 GBP,1.0,4,1,1,7,1.0,Holiday,0.5427777777777778,0.22361111111111112,0.23361111111111107,0.0
Asia,14-27 days,0-250 GBP,1.0,6,0,0,7,1.0,VFF,0.0,0.7666666666666666,0.0,0.2333333333333333
South America,14-27 days,1000-5000 GBP,1.0,5,0,0,7,7.0,VFF,0.0,0.05,0.85,0.1
Non-EU Europe,4-13 days,250-500 GBP,1.0,5,0,0,7,7.0,VFF,0.2333333333333333,0.0,0.3,0.4666666666666666
South America,1-3 months,1000-5000 GBP,1.0,2,0,0,7,6.0,VFF,0.0,1.0,0.0,0.0
EU,14-27 days,0-250 GBP,1.0,2,0,0,7,7.0,VFF,0.0,0.1,0.5,0.4
EU,14-27 days,0-250 GBP,1.0,7,0,0,7,1.0,VFF,0.15666666666666665,0.0,0.0,0.8433333333333334
EU,4-13 days,1000-5000 GBP,1.0,6,0,0,7,5.0,VFF,0.0,0.0,0.31666666666666665,0.6833333333333333
EU,1-3 days,500-1000 GBP,1.0,5,0,1,5,3.0,Business or Work,0.911476010995249,0.0,0.08852398900475102,0.0
EU,4-13 days,1000-5000 GBP,1.0,4,0,0,5,6.0,Education and Other,0.0,0.1,0.3,0.6
South America,1-3 days,0-250 GBP,1.0,8,0,0,5,3.0,VFF,0.01818181818181818,0.1,0.2015151515151515,0.6803030303030304
EU,1-3 days,500-1000 GBP,1.0,6,0,1,5,4.0,VFF,0.9464405860807357,0.0,0.05355941391926441,0.0
EU,4-13 days,0-250 GBP,1.0,6,0,0,5,6.0,VFF,0.0,0.0,0.08254901960784314,0.9174509803921568
EU,1-3 days,250-500 GBP,1.0,6,0,1,5,4.0,Business or Work,0.9398554035856534,0.0,0.047374082288098626,0.012770514126247984
South America,4-13 days,500-1000 GBP,1.0,4,0,0,5,7.0,VFF,0.05,0.0,0.25,0.7
EU,4-13 days,0-250 GBP,1.0,7,0,0,5,6.0,VFF,0.0,0.0,0.0,1.0
Asia,1-3 months,500-1000 GBP,1.0,4,0,2,5,3.0,VFF,0.5,0.1,0.2,0.2
EU,1-3 days,0-250 GBP,1.0,2,0,0,5,4.0,VFF,0.0,0.0,0.2443006254151765,0.7556993745848235
Africa,14-27 days,1000-5000 GBP,1.0,7,0,0,5,6.0,VFF,0.0625,0.0,0.30833333333333335,0.6291666666666667
EU,1-3 months,1000-5000 GBP,1.0,4,0,0,5,3.0,VFF,0.1,0.0,0.0,0.9
South America,1-3 days,0-250 GBP,1.0,4,0,0,5,3.0,VFF,0.014285714285714285,0.0,0.12857142857142856,0.8571428571428571
South America,4-13 days,1000-5000 GBP,1.0,5,0,1,5,1.0,Business or Work,0.2,0.0,0.8,0.0
EU,4-13 days,0-250 GBP,1.0,2,0,0,3,7.0,VFF,0.0,0.0,0.14106698850204807,0.858933011497952
Asia,14-27 days,1000-5000 GBP,1.0,5,0,1,3,3.0,Holiday,0.1,0.0,0.9,0.0
EU,1-3 days,0-250 GBP,1.0,4,0,0,3,2.0,VFF,0.04620294795217396,0.05831622356544956,0.2545857297730363,0.6408950987093402
EU,1-3 days,250-500 GBP,1.0,5,0,2,3,2.0,Business or Work,1.0,0.0,0.0,0.0
EU,6,250-500 GBP,1.0,5,0,1,3,3.0,Business or Work,0.0,0.0,0.9875,0.0125
EU,1-3 days,0-250 GBP,1.0,7,0,0,7,6.0,VFF,0.0,0.12734848484848485,0.0,0.8726515151515152
EU,1-3 days,0-250 GBP,1.0,4,0,0,7,6.0,VFF,0.10371099920723452,0.0,0.031072690750110106,0.8652163100426554
EU,6,0-250 GBP,1.0,8,0,0,7,7.0,VFF,0.0,0.0,0.0,1.0
South America,4-13 days,1000-5000 GBP,1.0,4,0,1,7,1.0,Business or Work,0.37,0.0,0.53,0.1
EU,1-3 days,250-500 GBP,1.0,6,0,1,7,6.0,VFF,0.1903409090909091,0.0,0.4614790764790765,0.3481800144300144
EU,6,0-250 GBP,1.0,2,0,1,7,7.0,Holiday,0.2,0.1,0.41666666666666663,0.2833333333333333
EU,1-3 days,250-500 GBP,1.0,2,0,1,7,6.0,Holiday,0.148011988011988,0.0,0.7862187812187813,0.06576923076923077
EU,6,250-500 GBP,1.0,4,0,0,7,7.0,VFF,0.2,0.1,0.12916666666666668,0.5708333333333334
EU,6,250-500 GBP,1.0,2,0,1,7,7.0,Holiday,0.0,0.0,0.7333333333333333,0.26666666666666666
South America,4-13 days,250-500 GBP,1.0,4,0,0,7,1.0,VFF,0.0,0.008,0.016,0.976
EU,1-3 days,0-250 GBP,1.0,4,0,0,7,6.0,VFF,0.10371099920723452,0.0,0.031072690750110106,0.8652163100426554
EU,1-3 days,250-500 GBP,1.0,4,0,1,7,6.0,Holiday,0.0,0.0,0.769615245865246,0.23038475413475412
South America,1-3 days,250-500 GBP,1.0,4,0,0,7,6.0,VFF,0.02,0.0,0.9800000000000001,0.0
EU,1-3 days,0-250 GBP,1.0,7,0,0,7,6.0,VFF,0.0,0.12734848484848485,0.0,0.8726515151515152
EU,14-27 days,0-250 GBP,1.0,7,0,0,2,4.0,VFF,0.0,0.0,0.08285714285714285,0.917142857142857
EU,14-27 days,0-250 GBP,1.0,4,0,0,2,1.0,VFF,0.1,0.0,0.06666666666666667,0.8333333333333334
Other,4-13 days,1000-5000 GBP,1.0,6,0,1,2,6.0,VFF,0.4525490196078431,0.0,0.28502673796791445,0.2624242424242424
EU,4-13 days,250-500 GBP,1.0,6,0,0,2,6.0,VFF,0.023229771583430116,0.015931087882307394,0.40747646998372566,0.5533626705505368
South America,14-27 days,250-500 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,4,0,0,2,5.0,VFF,0.0,0.0,0.3036406986487055,0.6963593013512946
EU,4-13 days,500-1000 GBP,1.0,7,0,1,2,6.0,VFF,0.2217965367965368,0.0,0.720465367965368,0.057738095238095234
South America,4-13 days,0-250 GBP,1.0,6,0,2,2,3.0,VFF,0.2,0.0,0.8,0.0
EU,4-13 days,0-250 GBP,1.0,7,0,0,2,6.0,VFF,0.06871375084693707,0.0,0.06734475096149772,0.8639414981915652
South America,14-27 days,500-1000 GBP,1.0,4,0,0,2,3.0,VFF,0.0,0.15,0.4,0.45
EU,14-27 days,0-250 GBP,1.0,6,0,0,2,1.0,VFF,0.025,0.05,0.0,0.925
EU,14-27 days,0-250 GBP,1.0,7,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
EU,1-3 months,1000-5000 GBP,1.0,7,0,0,2,5.0,VFF,0.0,0.0,0.2,0.8
EU,4-13 days,0-250 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,5,0,1,2,6.0,VFF,0.07795812505051636,0.0,0.7724962709329717,0.14954560401651193
EU,4-13 days,0-250 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
EU,14-27 days,250-500 GBP,1.0,7,0,0,2,2.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,1.0,3,0,0,2,3.0,VFF,0.0,0.0,1.0,0.0
South America,14-27 days,0-250 GBP,1.0,4,0,0,2,1.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,0-250 GBP,1.0,8,0,0,2,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,3,0,0,2,5.0,VFF,0.0,0.3333333333333333,0.0,0.6666666666666667
EU,4-13 days,1000-5000 GBP,1.0,5,0,0,2,6.0,VFF,0.0,0.0,0.55,0.45
EU,4-13 days,250-500 GBP,1.0,4,0,0,2,3.0,VFF,0.04766272110014712,0.0,0.20721786231045147,0.7451194165894014
EU,14-27 days,0-250 GBP,1.0,4,0,0,2,1.0,VFF,0.1,0.0,0.06666666666666667,0.8333333333333334
EU,4-13 days,250-500 GBP,1.0,8,0,0,2,3.0,VFF,0.0,0.0,0.1514786967418546,0.8485213032581453
EU,1-3 months,1000-5000 GBP,1.0,4,0,0,2,7.0,VFF,0.0,0.26666666666666666,0.3333333333333333,0.4
EU,6,250-500 GBP,1.0,2,0,1,5,5.0,Holiday,0.0,0.2,0.8,0.0
South America,4-13 days,250-500 GBP,1.0,6,1,0,5,2.0,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,250-500 GBP,1.0,5,0,1,5,4.0,Business or Work,0.9490333287459134,0.0,0.050966671254086694,0.0
South America,4-13 days,0-250 GBP,1.0,8,0,0,5,6.0,VFF,0.0,0.0,0.0,1.0
South America,1-3 months,0-250 GBP,1.0,4,0,0,5,5.0,VFF,0.1,0.0,0.3333333333333333,0.5666666666666667
South America,1-3 days,0-250 GBP,1.0,7,0,1,5,4.0,Education and Other,0.85,0.0,0.15,0.0
