Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
EU,14-27 days,0-250 GBP,0,0,1.0,7,4,5,VFF,0.0,0.0,0.0,1.0
EU,14-27 days,0-250 GBP,0,0,1.0,8,4,5,VFF,0.0,0.0,0.11705738705738704,0.8829426129426128
EU,,0-250 GBP,1,0,1.0,4,3,3,Business or Work,0.866314049304599,0.025991859163673303,0.040970411355847794,0.06672368017587982
UK,4-13 days,1000-5000 GBP,0,0,1.0,8,4,3,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,0-250 GBP,0,0,1.0,2,4,2,VFF,0.0,0.07466491841491843,0.08119560994560995,0.8441394716394717
UK,14-27 days,1000-5000 GBP,0,0,1.0,6,4,7,VFF,0.0,0.0,0.0,1.0
UK,14-27 days,1000-5000 GBP,2,0,1.0,6,4,5,VFF,0.2,0.1,0.1,0.6
UK,4-13 days,250-500 GBP,0,0,1.0,4,4,4,VFF,0.1,0.0,0.0,0.9
UK,4-13 days,0-250 GBP,0,0,1.0,5,4,7,VFF,0.0,0.0,0.0,1.0
UK,14-27 days,250-500 GBP,0,0,1.0,4,4,2,VFF,0.0,0.0,0.0,1.0
North America,4-13 days,1000-5000 GBP,0,0,1.0,7,4,2,VFF,0.0,0.0,0.5504761904761903,0.44952380952380955
UK,14-27 days,1000-5000 GBP,0,1,1.0,5,4,5,VFF,0.1,0.0,0.05,0.85
EU,4-13 days,250-500 GBP,0,0,1.0,8,4,1,VFF,0.0,0.0,0.4323484848484848,0.5676515151515151
North America,4-13 days,250-500 GBP,0,0,1.0,6,4,6,VFF,0.0,0.08333333333333333,0.14166666666666666,0.7749999999999999
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,0,0,1.0,4,4,7,Holiday,0.0,0.0,0.552948717948718,0.4470512820512821
UK,4-13 days,250-500 GBP,0,0,1.0,5,4,3,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,0,1.0,5,4,1,Holiday,0.485,0.0,0.515,0.0
UK,14-27 days,1000-5000 GBP,0,0,1.0,5,4,4,VFF,0.0,0.0,0.1,0.9
EU,4-13 days,0-250 GBP,0,0,1.0,7,4,1,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,250-500 GBP,1,1,1.0,6,4,6,Holiday,0.4,0.1,0.1,0.4
EU,1-3 days,0-250 GBP,0,0,1.0,4,4,2,VFF,0.04190767165935991,0.0,0.17045882385088418,0.787633504489756
UK,14-27 days,0-250 GBP,0,0,1.0,6,4,4,VFF,0.1,0.0,0.042222222222222223,0.8577777777777778
UK,4-13 days,250-500 GBP,0,0,1.0,4,4,6,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,0,0,1.0,4,7,1,VFF,0.0,0.0,0.1,0.9
UK,14-27 days,500-1000 GBP,0,0,1.0,7,7,1,VFF,0.0,0.0,0.0,1.0
EU,,250-500 GBP,1,0,1.0,7,7,7,Holiday,0.6847727272727273,0.057499999999999996,0.11734848484848485,0.14037878787878788
EU,1-3 days,500-1000 GBP,1,0,1.0,6,7,5,Business or Work,0.42330777066071185,0.06609651378033732,0.3822270866388514,0.1283686289200995
EU,1-3 days,250-500 GBP,1,0,1.0,4,7,5,Education and Other,0.25977272727272727,0.0,0.623560606060606,0.11666666666666665
EU,1-3 days,500-1000 GBP,1,0,1.0,6,7,5,Business or Work,0.42330777066071185,0.06609651378033732,0.3822270866388514,0.1283686289200995
EU,,0-250 GBP,1,0,1.0,7,7,7,Holiday,0.2141269841269841,0.0,0.6480952380952381,0.13777777777777778
EU,,0-250 GBP,1,0,1.0,8,7,7,Holiday,0.20595238095238094,0.0,0.4583333333333333,0.33571428571428574
Africa,14-27 days,250-500 GBP,0,0,1.0,2,7,4,VFF,0.1,0.2,0.3,0.4
EU,,500-1000 GBP,1,0,1.0,7,7,7,Holiday,0.65,0.0,0.35,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,7,7,6,Business or Work,0.11019702519702519,0.0,0.47453823953823954,0.41526473526473523
EU,4-13 days,0-250 GBP,0,0,1.0,5,1,2,VFF,0.0,0.0,0.05511655011655011,0.9448834498834499
EU,1-3 days,0-250 GBP,0,0,1.0,7,1,7,VFF,0.0,0.032627168922403194,0.1684257204820375,0.7989471105955593
EU,1-3 days,500-1000 GBP,0,0,1.0,5,1,7,VFF,0.0,0.0,0.265937950937951,0.7340620490620491
EU,1-3 days,0-250 GBP,1,0,1.0,7,1,7,Business or Work,0.10032038794538793,0.01476839826839827,0.3681632534132534,0.5167479603729602
Asia,4-13 days,250-500 GBP,1,0,1.0,5,1,5,Business or Work,0.6166666666666666,0.0,0.3333333333333333,0.05
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,7,VFF,0.07275514303295716,0.009572606953702508,0.7129334624468978,0.2047387875664425
EU,,0-250 GBP,0,0,1.0,2,1,1,VFF,0.0,0.0,0.3692936049457788,0.6307063950542212
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
EU,,0-250 GBP,0,0,1.0,5,1,1,VFF,0.11782422978800597,0.0,0.20476646655492714,0.6774093036570669
EU,1-3 days,0-250 GBP,0,0,1.0,4,1,7,Holiday,0.012038983293127881,0.011003654714730937,0.23303078716870917,0.7439265748234319
UK,1-3 days,0-250 GBP,0,0,1.0,4,1,7,VFF,0.0,0.015142707771797248,0.06493553299447709,0.9199217592337255
UK,1-3 days,0-250 GBP,0,0,1.0,6,1,7,VFF,0.0,0.0,0.1848564504721213,0.8151435495278788
UK,1-3 days,0-250 GBP,0,0,1.0,4,1,6,VFF,0.059584128377791715,0.019047660566202766,0.06022149253918335,0.8611467185168221
UK,1-3 days,250-500 GBP,1,1,1.0,4,1,6,Business or Work,0.0,0.0,0.2,0.8
EU,1-3 days,250-500 GBP,1,0,1.0,8,1,7,Holiday,0.1444047619047619,0.0,0.5361507936507937,0.3194444444444445
Africa,3-6 months,1000-5000 GBP,1,0,1.0,6,1,1,Business or Work,0.3,0.0,0.7,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,1,7,Holiday,0.15558775385952495,0.0,0.5518790871643992,0.2925331589760759
Asia,1-3 days,0-250 GBP,1,0,1.0,4,1,6,Holiday,0.16920033670033668,0.0,0.6032095959595959,0.22759006734006734
EU,1-3 days,0-250 GBP,0,0,1.0,5,1,7,VFF,0.01890146174148784,0.0,0.2269936921203605,0.7541048461381518
UK,1-3 days,250-500 GBP,0,0,1.0,6,1,7,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,250-500 GBP,0,0,1.0,8,1,6,VFF,0.0,0.0,0.7379365079365079,0.262063492063492
EU,1-3 days,,0,0,1.0,4,1,6,Holiday,0.17622377622377622,0.0,0.29160839160839164,0.5321678321678321
